Country;TotalCases;TotalDeaths;TotalRecovered;Population;Continent;infect_percentage;death_percentage
Anguilla;3904;12;0;15230;North America;25.63;0.31
Wallis and Futuna;3550;8;438;10982;Australia/Oceania;32.33;0.23
Saint Pierre Miquelon;3452;2;2449;5759;North America;59.94;0.06
Tuvalu;2943;1;0;12066;Australia/Oceania;24.39;0.03
Saint Helena;2166;0;2;6115;Africa;35.42;0.0
Falkland Islands;1930;0;1930;3539;South America;54.54;0.0
Montserrat;1403;8;1376;4965;North America;28.26;0.57
Niue;1059;0;1056;1622;Australia/Oceania;65.29;0.0
Tokelau;80;0;0;1378;Australia/Oceania;5.81;0.0
Vatican City;29;0;29;799;Europe;3.63;0.0
Western Sahara;10;1;9;626161;Africa;0.0;10.0
China;503302;5272;379053;1448471400;Asia;0.03;1.05
